Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
14;True;0;5;0;0,8332528
14;True;1;5;0;0,8332528
14;True;2;5;0;0,8243788
14;True;3;5;0;0,8028402
14;True;4;5;0;0,7732226
14;True;5;5;0;0,7560537
14;True;6;5;0;0,7421478
14;True;7;5;0;0,7180255
14;True;8;5;0;0,7019868
14;True;9;5;0;0,6793696
14;True;10;5;0;0,6644662
14;True;11;5;0;0,6496862
14;True;12;5;0;0,6285111
14;True;13;5;0;0,6145962
14;True;14;5;0;0,6017206
14;True;15;5;0;0,5814915
14;True;16;5;0;0,5685241
14;True;17;5;0;0,547501
14;True;18;5;0;0,5350564
14;True;19;5;0;0,5212058
14;True;20;5;0;0,5096339
14;True;21;5;0;0,4928118
14;True;22;5;0;0,4818485
14;True;23;5;0;0,4715516
14;True;24;5;0;0,4557122
14;True;25;5;0;0,4439947
14;True;26;5;0;0,4339455
14;True;27;5;0;0,4193742
14;True;28;5;0;0,4099922
14;True;29;5;0;0,3993047
14;True;30;5;0;0,3861997
14;True;31;5;0;0,3775995
14;True;32;5;0;0,3691504
14;True;33;3;2;0,3621754
14;True;34;5;0;0,3503956
14;True;35;5;0;0,3425921
14;True;36;5;1;0,3323804
14;True;37;5;0;0,3250945
14;True;38;5;0;0,3409169
14;True;39;3;2;0,3295388

