Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
15;True;0;5;0;0,8337713
15;True;1;5;0;0,8337713
15;True;2;4;1;0,8245087
15;True;3;5;0;0,8089019
15;True;4;5;0;0,802546
15;True;5;5;0;0,7756578
15;True;6;5;0;0,7580908
15;True;7;5;0;0,7413641
15;True;8;5;0;0,7137474
15;True;9;5;0;0,6973698
15;True;10;5;0;0,6731892
15;True;11;4;1;0,6592524
15;True;12;5;0;0,6436968
15;True;13;4;1;0,6198756
15;True;14;5;0;0,626025
15;True;15;5;0;0,612703
15;True;16;5;0;0,6100427
15;True;17;5;0;0,5990386
15;True;18;5;0;0,5791037
15;True;19;5;0;0,5636558
15;True;20;5;0;0,550393
15;True;21;4;1;0,5302436
15;True;22;5;0;0,5203454
15;True;23;4;1;0,5086855
15;True;24;5;1;0,5085725
15;True;25;5;0;0,4893363
15;True;26;5;0;0,4881561
15;True;27;5;0;0,4774539
15;True;28;5;0;0,4837661
15;True;29;5;0;0,4677552
15;True;30;5;0;0,4573673
15;True;31;4;2;0,4420198
15;True;32;4;1;0,432025
15;True;33;2;3;0,4222831
15;True;34;3;2;0,4082208
15;True;35;4;1;0,4185282
15;True;36;2;3;0,4198919
15;True;37;5;0;0,4639111
15;True;38;5;0;0,4698055
15;True;39;4;1;0,4807403

