Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
25;False;0;5;0;0,8334171
25;False;1;5;0;0,8334171
25;False;2;5;0;0,8240005
25;False;3;5;0;0,8083393
25;False;4;5;0;0,7783903
25;False;5;5;0;0,7611745
25;False;6;4;1;0,7440721
25;False;7;5;0;0,7197308
25;False;8;5;0;0,7042517
25;False;9;5;0;0,6997417
25;False;10;5;0;0,6738201
25;False;11;5;0;0,658601
25;False;12;5;1;0,6460024
25;False;13;5;0;0,6265174
25;False;14;5;0;0,6146969
25;False;15;5;0;0,6114596
25;False;16;5;0;0,5979647
25;False;17;5;0;0,5784652
25;False;18;5;0;0,5675545
25;False;19;4;1;0,5547297
25;False;20;5;0;0,5399182
25;False;21;5;0;0,5254589
25;False;22;5;0;0,5093374
25;False;23;5;0;0,5147265
25;False;24;5;0;0,4966582
25;False;25;5;0;0,4856163
25;False;26;5;0;0,4696798
25;False;27;5;0;0,4592648
25;False;28;5;0;0,449093
25;False;29;5;0;0,4410018
25;False;30;5;0;0,4262814
25;False;31;5;0;0,4168053
25;False;32;5;0;0,4098719
25;False;33;5;1;0,3963417
25;False;34;5;0;0,3888695
25;False;35;4;1;0,3802554
25;False;36;5;0;0,3691344
25;False;37;5;0;0,3609073
25;False;38;5;0;0,3646164
25;False;39;5;0;0,3716065

