Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
28;True;0;5;0;0,8334756
28;True;1;5;0;0,8334756
28;True;2;5;1;0,8240948
28;True;3;5;0;0,8031958
28;True;4;5;0;0,7790633
28;True;5;5;0;0,7617859
28;True;6;5;0;0,7454474
28;True;7;5;0;0,7203883
28;True;8;5;0;0,7015588
28;True;9;5;0;0,6783373
28;True;10;5;0;0,6634456
28;True;11;5;0;0,6491102
28;True;12;5;0;0,6250499
28;True;13;5;0;0,6114247
28;True;14;5;0;0,5979813
28;True;15;4;1;0,5782583
28;True;16;4;1;0,5629683
28;True;17;4;1;0,5503706
28;True;18;5;0;0,551203
28;True;19;5;0;0,561301
28;True;20;5;0;0,5542403
28;True;21;5;1;0,5420827
28;True;22;5;0;0,5238878
28;True;23;4;1;0,5120693
28;True;24;4;1;0,5011262
28;True;25;5;1;0,4898743
28;True;26;4;2;0,4756784
28;True;27;4;1;0,4808306
28;True;28;5;0;0,4996113
28;True;29;5;0;0,4887213
28;True;30;5;0;0,5067184
28;True;31;5;0;0,5071242
28;True;32;4;1;0,4920213
28;True;33;5;1;0,4827884
28;True;34;4;2;0,4703791
28;True;35;5;0;0,4562728
28;True;36;5;0;0,4623295
28;True;37;4;1;0,4520577
28;True;38;5;0;0,4584512
28;True;39;5;0;0,4430501

