Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
27;False;0;5;0;0,8335732
27;False;1;5;0;0,8335732
27;False;2;4;1;0,8242695
27;False;3;4;1;0,8055398
27;False;4;5;0;0,7793922
27;False;5;4;1;0,781483
27;False;6;5;0;0,7748699
27;False;7;5;0;0,7574349
27;False;8;5;0;0,7605917
27;False;9;5;0;0,7415758
27;False;10;5;0;0,7249538
27;False;11;5;0;0,6982114
27;False;12;5;0;0,6830804
27;False;13;5;0;0,6660255
27;False;14;5;0;0,6438803
27;False;15;5;0;0,6298036
27;False;16;5;0;0,6089777
27;False;17;5;0;0,5956328
27;False;18;5;0;0,5824382
27;False;19;5;0;0,5625765
27;False;20;5;0;0,550341
27;False;21;5;0;0,5380725
27;False;22;5;0;0,5206038
27;False;23;5;0;0,5090046
27;False;24;5;0;0,4977065
27;False;25;4;1;0,481259
27;False;26;5;0;0,4722703
27;False;27;5;0;0,4618134
27;False;28;5;0;0,4452408
27;False;29;4;1;0,4515153
27;False;30;4;1;0,4413605
27;False;31;5;0;0,4269778
27;False;32;5;0;0,4175209
27;False;33;5;0;0,4082987
27;False;34;5;0;0,4263645
27;False;35;5;0;0,4124859
27;False;36;5;0;0,4036438
27;False;37;5;1;0,390814
27;False;38;5;0;0,3821728
27;False;39;5;0;0,3734612

