Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
30;False;0;5;0;0,8335949
30;False;1;5;0;0,8335949
30;False;2;5;0;0,8239872
30;False;3;5;0;0,8058093
30;False;4;5;0;0,7787014
30;False;5;5;0;0,7613404
30;False;6;5;0;0,7414914
30;False;7;5;0;0,716755
30;False;8;5;0;0,7009867
30;False;9;5;0;0,6752948
30;False;10;5;0;0,6604368
30;False;11;5;0;0,6433349
30;False;12;5;0;0,6227149
30;False;13;5;0;0,6108329
30;False;14;5;0;0,5972188
30;False;15;5;0;0,5763189
30;False;16;5;0;0,5617319
30;False;17;5;0;0,5492735
30;False;18;5;0;0,5318619
30;False;19;5;0;0,5198725
30;False;20;5;0;0,5057334
30;False;21;5;0;0,4893349
30;False;22;5;0;0,4759661
30;False;23;5;0;0,4670097
30;False;24;5;0;0,4529195
30;False;25;5;0;0,4429938
30;False;26;5;0;0,4328816
30;False;27;5;0;0,4184864
30;False;28;5;0;0,4093632
30;False;29;5;0;0,4003102
30;False;30;5;0;0,3851993
30;False;31;4;1;0,3766211
30;False;32;5;0;0,3683733
30;False;33;5;0;0,3602509
30;False;34;5;0;0,346413
30;False;35;5;0;0,3388204
30;False;36;4;1;0,3425308
30;False;37;5;0;0,3348936
30;False;38;5;0;0,325915
30;False;39;5;0;0,315498

