Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
9;True;0;5;1;0,8331917
9;True;1;5;0;0,8331917
9;True;2;5;0;0,8239974
9;True;3;5;0;0,805504
9;True;4;5;0;0,78755
9;True;5;5;0;0,7617365
9;True;6;5;0;0,7447334
9;True;7;5;0;0,7281442
9;True;8;5;0;0,7045164
9;True;9;5;0;0,6897355
9;True;10;5;0;0,6669237
9;True;11;5;0;0,6520823
9;True;12;5;0;0,6412628
9;True;13;4;2;0,6220027
9;True;14;4;1;0,6080192
9;True;15;5;0;0,595176
9;True;16;5;0;0,6131774
9;True;17;5;0;0,6107784
9;True;18;5;0;0,5982293
9;True;19;5;0;0,5783879
9;True;20;5;0;0,5654644
9;True;21;5;1;0,5527319
9;True;22;5;0;0,5359981
9;True;23;3;2;0,5241536
9;True;24;5;0;0,5068631
9;True;25;5;0;0,4955967
9;True;26;5;0;0,4957581
9;True;27;5;0;0,4996729
9;True;28;4;1;0,489246
9;True;29;5;0;0,4787419
9;True;30;5;0;0,4629834
9;True;31;4;1;0,4525638
9;True;32;5;1;0,4517753
9;True;33;5;1;0,4417914
9;True;34;4;1;0,4250816
9;True;35;5;0;0,4315846
9;True;36;5;0;0,4203297
9;True;37;4;1;0,4224936
9;True;38;4;1;0,4403231
9;True;39;5;0;0,4305913

