Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
12;False;0;4;1;0,8340796
12;False;1;5;0;0,8340796
12;False;2;5;0;0,8451954
12;False;3;4;1;0,8268569
12;False;4;5;0;0,799457
12;False;5;5;0;0,7812519
12;False;6;5;0;0,7768198
12;False;7;5;0;0,7588678
12;False;8;5;0;0,7417341
12;False;9;5;0;0,7174178
12;False;10;5;0;0,704061
12;False;11;5;0;0,6784042
12;False;12;4;1;0,6633615
12;False;13;5;0;0,6486583
12;False;14;5;0;0,6266271
12;False;15;5;0;0,6245978
12;False;16;4;1;0,6082065
12;False;17;5;0;0,5946578
12;False;18;4;1;0,5748049
12;False;19;4;1;0,5796958
12;False;20;5;0;0,5621842
12;False;21;4;1;0,5668511
12;False;22;5;0;0,5486019
12;False;23;5;0;0,5511745
12;False;24;5;0;0,5329549
12;False;25;5;0;0,5325091
12;False;26;4;1;0,5207245
12;False;27;5;0;0,5090706
12;False;28;4;1;0,4925302
12;False;29;5;0;0,4797724
12;False;30;5;0;0,4872336
12;False;31;2;3;0,4712575
12;False;32;5;0;0,4775619
12;False;33;5;0;0,4592463
12;False;34;5;0;0,46161
12;False;35;5;0;0,4823813
12;False;36;4;1;0,4714994
12;False;37;5;0;0,4559228
12;False;38;5;0;0,4459397
12;False;39;4;2;0,435949

