Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
4;True;0;4;1;0,833374
4;True;1;5;0;0,833374
4;True;2;5;0;0,8443556
4;True;3;5;0;0,8255894
4;True;4;5;0;0,7953354
4;True;5;5;0;0,7782114
4;True;6;5;0;0,7527537
4;True;7;5;0;0,736169
4;True;8;5;0;0,7193567
4;True;9;5;0;0,695519
4;True;10;5;0;0,6803274
4;True;11;5;0;0,6653265
4;True;12;5;0;0,6433449
4;True;13;5;0;0,6290888
4;True;14;5;0;0,6083272
4;True;15;5;0;0,5949031
4;True;16;5;0;0,5813842
4;True;17;5;0;0,5620853
4;True;18;5;0;0,5496984
4;True;19;5;1;0,5373649
4;True;20;5;0;0,519886
4;True;21;5;0;0,5083739
4;True;22;5;0;0,4972128
4;True;23;4;1;0,480609
4;True;24;2;3;0,4698111
4;True;25;5;0;0,4593767
4;True;26;5;0;0,4438528
4;True;27;4;2;0,4502137
4;True;28;5;0;0,477441
4;True;29;5;1;0,4668626
4;True;30;5;0;0,4513709
4;True;31;5;1;0,4684495
4;True;32;5;0;0,4580376
4;True;33;5;0;0,4594181
4;True;34;4;1;0,4442189
4;True;35;5;0;0,4456341
4;True;36;5;0;0,4357385
4;True;37;4;1;0,4212382
4;True;38;4;1;0,4273061
4;True;39;5;0;0,4177822

