Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
3;True;0;5;0;0,8335855
3;True;1;5;0;0,8335855
3;True;2;5;0;0,8282902
3;True;3;5;0;0,8099106
3;True;4;5;0;0,7828792
3;True;5;5;0;0,7629358
3;True;6;5;0;0,737525
3;True;7;5;0;0,7190372
3;True;8;5;0;0,7032709
3;True;9;4;1;0,6833381
3;True;10;5;0;0,6677223
3;True;11;4;1;0,6523918
3;True;12;5;0;0,6495219
3;True;13;5;0;0,6259172
3;True;14;5;0;0,6316599
3;True;15;4;1;0,6123286
3;True;16;5;0;0,5985904
3;True;17;5;0;0,5851941
3;True;18;5;0;0,5835946
3;True;19;5;0;0,57061
3;True;20;5;0;0,55167
3;True;21;5;0;0,5395156
3;True;22;5;0;0,5273942
3;True;23;4;1;0,5097188
3;True;24;5;0;0,4982373
3;True;25;4;1;0,4875061
3;True;26;5;0;0,4767493
3;True;27;5;0;0,4769656
3;True;28;5;0;0,4665918
3;True;29;5;0;0,4680122
3;True;30;5;0;0,4577929
3;True;31;5;0;0,4428389
3;True;32;5;0;0,4328501
3;True;33;5;0;0,4231617
3;True;34;5;0;0,4089879
3;True;35;5;0;0,3999676
3;True;36;5;0;0,3911829
3;True;37;5;0;0,3824659
3;True;38;5;0;0,3691371
3;True;39;5;0;0,3609306

