Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
10;True;0;5;0;0,8336227
10;True;1;4;1;0,8336227
10;True;2;5;0;0,8271961
10;True;3;5;0;0,808919
10;True;4;5;0;0,7957082
10;True;5;4;1;0,7693048
10;True;6;5;0;0,7544593
10;True;7;4;1;0,7483138
10;True;8;5;1;0,7316643
10;True;9;5;0;0,7092201
10;True;10;5;0;0,7072182
10;True;11;5;0;0,6915795
10;True;12;5;0;0,6760901
10;True;13;5;0;0,6609167
10;True;14;4;1;0,639014
10;True;15;5;0;0,622471
10;True;16;5;0;0,602253
10;True;17;4;1;0,6065819
10;True;18;5;0;0,5930053
10;True;19;4;1;0,5730127
10;True;20;4;1;0,572902
10;True;21;4;1;0,5620637
10;True;22;5;0;0,5612863
10;True;23;5;0;0,567331
10;True;24;5;0;0,5659528
10;True;25;5;0;0,5531778
10;True;26;5;0;0,5348926
10;True;27;4;1;0,5233008
10;True;28;5;0;0,5064768
10;True;29;5;0;0,4953909
10;True;30;5;0;0,4951327
10;True;31;5;0;0,4842122
10;True;32;5;0;0,4751544
10;True;33;5;0;0,4591646
10;True;34;5;0;0,4489739
10;True;35;5;0;0,4391704
10;True;36;5;0;0,4244235
10;True;37;4;1;0,415103
10;True;38;5;0;0,405943
10;True;39;5;0;0,3935997

