Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
22;False;0;5;0;0,8332738
22;False;1;5;0;0,8332738
22;False;2;5;0;0,823938
22;False;3;5;0;0,8026516
22;False;4;4;1;0,7758945
22;False;5;4;1;0,7585042
22;False;6;5;0;0,7415685
22;False;7;5;0;0,7351698
22;False;8;5;0;0,7383525
22;False;9;4;1;0,7140019
22;False;10;4;1;0,6949503
22;False;11;5;0;0,6716866
22;False;12;5;0;0,674715
22;False;13;5;0;0,6708993
22;False;14;4;2;0,6562643
22;False;15;4;1;0,6321589
22;False;16;3;2;0,6179941
22;False;17;5;0;0,6340366
22;False;18;5;0;0,6376175
22;False;19;5;0;0,6463084
22;False;20;5;0;0,6321615
22;False;21;5;0;0,6135013
22;False;22;5;0;0,5999154
22;False;23;5;0;0,586385
22;False;24;4;1;0,5664546
22;False;25;5;0;0,5538052
22;False;26;4;1;0,541442
22;False;27;4;1;0,5220273
22;False;28;5;0;0,5281364
22;False;29;5;0;0,5334681
22;False;30;5;0;0,5339631
22;False;31;3;2;0,5205517
22;False;32;5;0;0,5038263
22;False;33;4;1;0,494509
22;False;34;4;1;0,4780006
22;False;35;3;2;0,5008053
22;False;36;4;1;0,4841018
22;False;37;5;0;0,4896043
22;False;38;4;1;0,4895305
22;False;39;5;0;0,5067648

