Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
10;False;0;4;1;0,8336283
10;False;1;4;1;0,8336283
10;False;2;5;0;0,8447118
10;False;3;5;0;0,8256603
10;False;4;5;0;0,8180859
10;False;5;4;1;0,7998685
10;False;6;5;1;0,775481
10;False;7;5;0;0,7551233
10;False;8;5;0;0,7693865
10;False;9;4;1;0,7522527
10;False;10;4;1;0,7233424
10;False;11;5;0;0,707102
10;False;12;5;0;0,7139338
10;False;13;5;0;0,6980852
10;False;14;4;1;0,6799637
10;False;15;4;1;0,6652608
10;False;16;5;0;0,6500582
10;False;17;4;1;0,6504493
10;False;18;5;0;0,6471249
10;False;19;4;1;0,6257586
10;False;20;5;0;0,6293549
10;False;21;3;2;0,6082184
10;False;22;5;0;0,6123042
10;False;23;5;1;0,5901708
10;False;24;5;1;0,611236
10;False;25;4;1;0,5975302
10;False;26;5;0;0,5777435
10;False;27;5;0;0,5651516
10;False;28;5;0;0,5917819
10;False;29;4;1;0,5753046
10;False;30;5;0;0,5534615
10;False;31;5;0;0,5391924
10;False;32;5;0;0,537832
10;False;33;5;0;0,5240371
10;False;34;5;0;0,5125491
10;False;35;5;0;0,4988213
10;False;36;5;0;0,4860964
10;False;37;5;0;0,4681414
10;False;38;5;0;0,4591115
10;False;39;5;1;0,449479

