Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
13;False;0;5;0;0,8338144
13;False;1;5;0;0,8338144
13;False;2;5;1;0,8245205
13;False;3;3;2;0,8058994
13;False;4;5;0;0,7764777
13;False;5;4;1;0,7863736
13;False;6;5;0;0,7798755
13;False;7;5;0;0,7624514
13;False;8;5;0;0,7599812
13;False;9;5;0;0,7427647
13;False;10;4;1;0,718298
13;False;11;5;0;0,7021745
13;False;12;5;0;0,6977879
13;False;13;5;1;0,6823044
13;False;14;5;0;0,6673437
13;False;15;5;0;0,6451529
13;False;16;5;0;0,6414981
13;False;17;4;1;0,6271715
13;False;18;5;0;0,6062842
13;False;19;3;2;0,5929404
13;False;20;3;2;0,5976904
13;False;21;5;0;0,5803018
13;False;22;5;0;0,5729679
13;False;23;4;1;0,5999569
13;False;24;5;0;0,5865104
13;False;25;5;0;0,5670708
13;False;26;5;0;0,5715908
13;False;27;5;1;0,5587114
13;False;28;5;0;0,542312
13;False;29;4;2;0,5297171
13;False;30;4;2;0,5292662
13;False;31;5;0;0,5181877
13;False;32;5;0;0,5145574
13;False;33;4;1;0,5310838
13;False;34;5;0;0,5191902
13;False;35;5;0;0,5020235
13;False;36;5;1;0,4911076
13;False;37;5;0;0,4933824
13;False;38;5;0;0,4822677
13;False;39;5;0;0,4715092

