Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
6;True;0;5;0;0,8335801
6;True;1;5;1;0,8335801
6;True;2;5;0;0,8245925
6;True;3;5;0;0,8065004
6;True;4;5;0;0,7996312
6;True;5;5;0;0,7731603
6;True;6;5;0;0,7559435
6;True;7;5;0;0,7388894
6;True;8;5;0;0,7143022
6;True;9;5;0;0,6988314
6;True;10;5;0;0,6757685
6;True;11;5;0;0,660696
6;True;12;5;0;0,646108
6;True;13;5;0;0,6244267
6;True;14;5;0;0,6105214
6;True;15;5;0;0,5969843
6;True;16;5;0;0,5770659
6;True;17;5;0;0,5641183
6;True;18;5;0;0,5515859
6;True;19;5;0;0,5331752
6;True;20;5;0;0,5213861
6;True;21;5;0;0,5095342
6;True;22;5;0;0,4923605
6;True;23;5;0;0,481607
6;True;24;5;0;0,4708582
6;True;25;5;0;0,4550399
6;True;26;5;0;0,4447653
6;True;27;4;1;0,4351967
6;True;28;5;1;0,4207523
6;True;29;5;0;0,4113666
6;True;30;5;0;0,4021869
6;True;31;5;0;0,4043845
6;True;32;5;0;0,4064166
6;True;33;5;0;0,3973042
6;True;34;5;0;0,3841891
6;True;35;5;0;0,3756062
6;True;36;5;0;0,3630585
6;True;37;5;0;0,3552317
6;True;38;5;0;0,3470412
6;True;39;5;0;0,3393631

