Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
27;True;0;3;2;0,8334323
27;True;1;4;1;0,8334323
27;True;2;5;0;0,8555949
27;True;3;4;1;0,8394012
27;True;4;5;0;0,8316672
27;True;5;5;0;0,8132346
27;True;6;5;0;0,8029191
27;True;7;5;0;0,7850744
27;True;8;5;0;0,7594121
27;True;9;5;0;0,7449484
27;True;10;5;1;0,7281029
27;True;11;3;2;0,7042426
27;True;12;5;0;0,685771
27;True;13;5;1;0,6681159
27;True;14;5;0;0,6751833
27;True;15;5;0;0,6602451
27;True;16;5;0;0,6452758
27;True;17;5;0;0,6238686
27;True;18;5;0;0,6098529
27;True;19;5;0;0,5962668
27;True;20;5;0;0,574334
27;True;21;5;0;0,5594717
27;True;22;5;0;0,5471813
27;True;23;4;1;0,5265486
27;True;24;5;0;0,5142082
27;True;25;5;0;0,5026581
27;True;26;5;1;0,4862245
27;True;27;5;0;0,4874128
27;True;28;4;1;0,4766328
27;True;29;5;0;0,4660238
27;True;30;3;2;0,4578962
27;True;31;5;1;0,4443278
27;True;32;5;0;0,4506909
27;True;33;3;3;0,4352106
27;True;34;5;1;0,4506621
27;True;35;5;0;0,4521119
27;True;36;4;2;0,4403
27;True;37;5;0;0,457505
27;True;38;5;0;0,4600933
27;True;39;5;0;0,4499015

