Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
6;False;0;4;1;0,8337532
6;False;1;4;1;0,8337532
6;False;2;5;0;0,8447996
6;False;3;3;2;0,8262336
6;False;4;5;0;0,8194391
6;False;5;4;1;0,8120659
6;False;6;5;0;0,805092
6;False;7;5;0;0,7870762
6;False;8;5;0;0,7803391
6;False;9;5;0;0,7541528
6;False;10;5;0;0,7373193
6;False;11;5;0;0,7210875
6;False;12;5;0;0,6971673
6;False;13;5;0;0,6814166
6;False;14;5;0;0,6661813
6;False;15;4;1;0,6442002
6;False;16;5;0;0,629679
6;False;17;5;0;0,6089596
6;False;18;5;0;0,6132977
6;False;19;5;0;0,5994974
6;False;20;5;0;0,5794085
6;False;21;5;0;0,5660989
6;False;22;5;0;0,5473526
6;False;23;5;0;0,5350259
6;False;24;5;0;0,5231701
6;False;25;5;0;0,5058377
6;False;26;5;0;0,494394
6;False;27;5;0;0,4834168
6;False;28;5;0;0,4726077
6;False;29;5;0;0,456699
6;False;30;5;0;0,4464752
6;False;31;5;0;0,4367122
6;False;32;5;0;0,4222898
6;False;33;3;2;0,412959
6;False;34;5;0;0,4038582
6;False;35;5;0;0,3905194
6;False;36;5;0;0,3818447
6;False;37;5;0;0,3845919
6;False;38;5;0;0,3872872
6;False;39;5;0;0,3786399

