Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
4;False;0;5;0;0,833725
4;False;1;5;0;0,833725
4;False;2;5;0;0,8241068
4;False;3;4;1;0,8084161
4;False;4;5;0;0,7816604
4;False;5;4;1;0,7641034
4;False;6;5;0;0,7665123
4;False;7;5;0;0,7408345
4;False;8;5;0;0,7440478
4;False;9;5;0;0,7237465
4;False;10;5;0;0,7072331
4;False;11;5;0;0,6840792
4;False;12;5;0;0,6689721
4;False;13;5;0;0,6565906
4;False;14;5;0;0,6364375
4;False;15;5;0;0,6198127
4;False;16;5;0;0,6015004
4;False;17;5;0;0,5882339
4;False;18;5;0;0,5747688
4;False;19;5;0;0,5559306
4;False;20;5;0;0,5438995
4;False;21;5;0;0,5320527
4;False;22;5;0;0,5145469
4;False;23;5;0;0,5031437
4;False;24;5;0;0,4923154
4;False;25;5;0;0,475787
4;False;26;5;0;0,4654474
4;False;27;5;0;0,4533985
4;False;28;5;0;0,4367849
4;False;29;5;0;0,4280002
4;False;30;5;0;0,4184105
4;False;31;4;1;0,4098772
4;False;32;3;2;0,3976212
4;False;33;5;0;0,3891647
4;False;34;4;1;0,380605
4;False;35;5;0;0,3815308
4;False;36;4;1;0,3993247
4;False;37;5;0;0,3861601
4;False;38;4;1;0,3777669
4;False;39;5;0;0,3807321

