Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
24;True;0;5;0;0,8335092
24;True;1;5;0;0,8335092
24;True;2;5;0;0,8241574
24;True;3;4;1;0,8029298
24;True;4;5;0;0,7727935
24;True;5;4;2;0,755659
24;True;6;5;0;0,758045
24;True;7;5;0;0,7527058
24;True;8;5;0;0,7552203
24;True;9;5;0;0,7301688
24;True;10;5;0;0,7140302
24;True;11;4;2;0,6906043
24;True;12;5;0;0,675046
24;True;13;5;0;0,6599438
24;True;14;5;0;0,6566031
24;True;15;5;0;0,6346788
24;True;16;5;0;0,6207722
24;True;17;5;1;0,6036381
24;True;18;4;1;0,580588
24;True;19;5;0;0,5678261
24;True;20;0;5;0,5660618
24;True;21;5;0;0,5536479
24;True;22;5;0;0,5500815
24;True;23;5;0;0,5776442
24;True;24;5;0;0,5915254
24;True;25;5;0;0,5717383
24;True;26;5;0;0,5501896
24;True;27;5;0;0,5382435
24;True;28;5;0;0,5266328
24;True;29;5;0;0,5095068
24;True;30;5;0;0,4982375
24;True;31;5;0;0,4872297
24;True;32;5;0;0,4709967
24;True;33;3;2;0,4611104
24;True;34;5;0;0,4509697
24;True;35;5;0;0,4406886
24;True;36;5;0;0,4257171
24;True;37;4;1;0,4435239
24;True;38;5;0;0,4288528
24;True;39;5;0;0,4193268

