Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
24;False;0;5;0;0,8334548
24;False;1;5;0;0,8334548
24;False;2;5;0;0,8241448
24;False;3;5;0;0,8030492
24;False;4;5;0;0,7763695
24;False;5;5;0;0,7593577
24;False;6;5;0;0,7425377
24;False;7;5;0;0,7178672
24;False;8;5;0;0,7018621
24;False;9;5;0;0,6785815
24;False;10;5;0;0,6635576
24;False;11;4;1;0,6487595
24;False;12;5;0;0,6275167
24;False;13;5;0;0,6136295
24;False;14;5;0;0,6181189
24;False;15;5;0;0,59727
24;False;16;5;0;0,5841587
24;False;17;5;0;0,5645041
24;False;18;5;0;0,5539601
24;False;19;5;0;0,5436146
24;False;20;5;0;0,5249203
24;False;21;5;0;0,5130764
24;False;22;5;0;0,5017287
24;False;23;5;0;0,4849612
24;False;24;5;0;0,4724572
24;False;25;5;0;0,4625886
24;False;26;4;1;0,4489197
24;False;27;5;0;0,4388181
24;False;28;5;0;0,4272509
24;False;29;5;0;0,4118994
24;False;30;5;0;0,418603
24;False;31;5;0;0,410293
24;False;32;4;1;0,3966789
24;False;33;4;2;0,387888
24;False;34;5;0;0,3791014
24;False;35;5;0;0,3666132
24;False;36;4;1;0,3584884
24;False;37;5;0;0,3614567
24;False;38;5;0;0,3630555
24;False;39;5;0;0,355016

