Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
1;True;0;5;0;0,8336573
1;True;1;5;0;0,8336573
1;True;2;5;0;0,824312
1;True;3;5;0;0,805893
1;True;4;4;1;0,7794761
1;True;5;4;1;0,762262
1;True;6;5;0;0,7450223
1;True;7;5;0;0,739448
1;True;8;5;0;0,7352987
1;True;9;5;0;0,7192184
1;True;10;5;0;0,6952821
1;True;11;5;0;0,6797023
1;True;12;5;0;0,6644883
1;True;13;4;1;0,6448282
1;True;14;5;0;0,6304735
1;True;15;4;1;0,6100331
1;True;16;5;0;0,6138335
1;True;17;4;1;0,5926509
1;True;18;5;0;0,5906255
1;True;19;5;0;0,5776241
1;True;20;5;1;0,5747383
1;True;21;5;0;0,5616005
1;True;22;5;0;0,5492798
1;True;23;5;0;0,5299649
1;True;24;5;0;0,5178893
1;True;25;5;0;0,506146
1;True;26;5;0;0,4948082
1;True;27;4;1;0,4784167
1;True;28;5;0;0,4679416
1;True;29;5;0;0,4564703
1;True;30;5;1;0,457995
1;True;31;4;1;0,4476095
1;True;32;5;0;0,4376641
1;True;33;2;3;0,4231347
1;True;34;5;0;0,4137599
1;True;35;4;1;0,4155445
1;True;36;5;1;0,4064854
1;True;37;4;1;0,4247543
1;True;38;4;1;0,4268351
1;True;39;4;1;0,4280336

