Participant ID;MR;Wavenumber;Blocked;Missed;Average Flow
5;True;0;5;0;0,833244
5;True;1;5;0;0,833244
5;True;2;5;0;0,8238655
5;True;3;5;0;0,8055075
5;True;4;5;0;0,7788705
5;True;5;5;0;0,7620053
5;True;6;5;0;0,74532
5;True;7;5;0;0,7205963
5;True;8;5;0;0,7046211
5;True;9;5;0;0,6811557
5;True;10;5;0;0,6684938
5;True;11;5;0;0,6537696
5;True;12;5;0;0,6318966
5;True;13;4;1;0,6179569
5;True;14;5;0;0,6042157
5;True;15;5;0;0,5843363
5;True;16;5;0;0,5823787
5;True;17;5;0;0,5696754
5;True;18;5;0;0,5571717
5;True;19;5;0;0,5387436
5;True;20;5;0;0,526636
5;True;21;5;0;0,5091656
5;True;22;5;0;0,4976577
5;True;23;4;1;0,4864717
5;True;24;4;1;0,4701643
5;True;25;4;1;0,4595672
5;True;26;4;1;0,4496142
5;True;27;4;1;0,4560117
5;True;28;3;2;0,4569994
5;True;29;5;0;0,4577115
5;True;30;4;1;0,4584091
5;True;31;5;0;0,4594515
5;True;32;5;0;0,4766139
5;True;33;3;2;0,4608245
5;True;34;5;1;0,4618143
5;True;35;5;0;0,4517692
5;True;36;3;2;0,4416127
5;True;37;5;1;0,4590163
5;True;38;4;1;0,4487807
5;True;39;5;0;0,4337349

